0,995004165
0,980066578
0,955336489
0,921060994
0,877582562
0,825335615
0,764842187
0,696706709
0,621609968
0,540302306
0,453596121
0,362357754
0,267498829
0,169967143
0,070737202
-0,029199522
-0,128844494
-0,227202095
-0,323289567
-0,416146837
-0,504846105
-0,588501117
-0,666276021
-0,737393716
-0,801143616
-0,856888753
-0,904072142
-0,942222341
-0,970958165
-0,989992497
-0,99913515
-0,998294776
-0,98747977
-0,966798193
-0,936456687
-0,896758416
-0,848100032
-0,790967712
-0,725932304
-0,653643621
-0,574823947
-0,490260821
-0,400799172
-0,30733287
-0,210795799
-0,112152527
-0,012388663
0,087498983
0,186512369
0,283662185
0,377977743
0,468516671
0,554374336
0,634692876
0,708669774
0,775565879
0,834712785
0,885519517
0,927478431
0,960170287
0,983268438
0,996542097
0,999858636
